,issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Error Handling,Logging,Lang,Data Structure,DevOps,i18n,Setup,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,Big Data,Event Handling,App,GIS,corpus,split
0,3107,3117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,fix tostr nonserializablememoizingsuppli ee cdd c f e ead c e use splitter instead stringsplit internetdomainname f aa b eed f c af c ec use splitter ipv elimin usag javautilregex file use via stringsplit otherwis de ef eea f cbbce e e fccce use diamond eb c edbf edcca cd cd autom rollback ef b b fe c e db f eit look like origin chang caus infinit loop localcacheloadingvaluereferenceget c ff c f b b fe dont enabl use unsafegetlong aarch devicesandroid devic report run aarch run bit mode thencrash load bit valu unalign address bbcf cf cfae ddf e f da e cla verifi in,0.27180564382222644
1,3145,3146,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,move type annot immedi type applyto relnotesn efbda c bfdb e b there good news bad news good news everyon need sign cla pull request submitt commit author done everyth good bad news appear commit author co author someon pull request submitt need confirm author ok commit contribut project pleas confirm pull request note project maintain termin state mean cla googl commit status chang state confirm consent commit author merg pull request appropri cla efbda c bfdb e b sign in,-0.5576742458625651
3,146,3393,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,add report header remov unus import warn f ca ead cf ddae cc reformat googl java formatrelnotesn b e b f fdb b add miss overrid annot b ca c baddcf ea f b document retent listen ad guava implement listenablefuturerelnotesdocu retent listen ad guava implement listenablefutur f e b eb daf aaaf f fd reformat googl java formatrelnotesn cff bc b c e c name method paramet unus immutablesortedsetreadobject objectinputstream static analysi doesnt complain c e b e af b b remov beta api collect collector asid bloomfilt immutablerang whole class beta though remov redund beta annot collector return method clariti map asconvert immutableenummap multimapbuild stream stream iter concatio bytestream copi tobytearray charstream copi tostr file charbyt sourcesink utilconcurr futur addcallback getdon getuncheck immediatecancelledfutur immediatefailedfutur immediatefutur listeningscheduledexecutorservic uninterruptiblesoth htmlescap splittersplittolist tickerfix asid immutablerang whole class beta anyway address main concern doesnt cover broader requestfix address beta number frequent use api cb cc ed e df b b df f add known utf hash valu murmur test utf compar platform reli java intern encoding ec bcf de ac dddd fb remov canignorereturnvalu orderingsortedcopi immutablesortedcopi relnotesremov canignorereturnvalu orderingsortedcopi immutablesortedcopi da f c b e f c e f make constructor privat im look enummap stuff reason got wonder use outsid file nope b ce c ff fac b b ab af e delet wellbehavedmapth bug work around java dont believ ever present android havent look absolut first version ever gwt still old gwt file doesnt bug eitherdelet class simplifi work im around enummap usag j cl c c ab c c fb aa bf intern gwt chang ade c e c c b f autom rollback commit ade c e c c b f origin chang descript intern gwt chang f b b b fe ac b bad use j objc retainedwith annot instead weak immutablemapkeysetto prevent crash iostestedcr map insid autoreleas pool save refer thekeyset check keyset function correct outsid autoreleasepool check keyset map dealloc theautoreleas pool hold refer keyset test withboth immutablemapof immutablebimapof relnotesj objc fix crash use immutablemapkeyset c acb ed eef annot checknotnul input output nonnullw dont want go road annot thing nonnul eventu want use tool assum that default pretti weird checknotnul return nullabl valu mind tool let annot method see goesrelnotesannot checknotnul input output nonnul b e b da ec ffd document jdk altern mapsimmutableentri fix f abd b bf b f fdaa ceb modern book refer eafed e bb b e ef creat constant sourcemap headernon test like header name requir workaroundsrelnotesadd sourcemap header intern gwt changedb ada b f db b de ec ca e ab b use j objc retainedwith annot instead weak immutablemapvaluesto prevent crash iostestedcr map insid autoreleas pool save refer thevalu collect check valu collect function correctlyoutsid autoreleas pool check valu collect themap dealloc autoreleas pool hold strong referenceto valu collect test immutablemapof andimmutablemapcopyof relnotesj objc fix crash use immutablemapvalu ac f c b aab b f cb fix javadoc breakag jdk canari remov gwt emul longer need gwt relnotesremov gwt emul longer need gwt mean gwt project use version guava must use gwt higherb df cb de c f dbbff annot checknotnul input output nonnullhi curious motiv behind decis well behind part decis total agre pretti weird checknotnul return nullabl valu mind tool favor checknotnul return non null valueim unclear input consid nonnul instead nullabl mayb im misus use checknotnul fluent assert express compil cant infer nullabl know nonnul use ideal signatur would java canignorereturnvalu nonnullpubl static checknotnul nullabl ref,-0.16711141703344753
4,3356,3393,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,add report header remov unus import warn f ca ead cf ddae cc reformat googl java formatrelnotesn b e b f fdb b add miss overrid annot b ca c baddcf ea f b document retent listen ad guava implement listenablefuturerelnotesdocu retent listen ad guava implement listenablefutur f e b eb daf aaaf f fd reformat googl java formatrelnotesn cff bc b c e c name method paramet unus immutablesortedsetreadobject objectinputstream static analysi doesnt complain c e b e af b b remov beta api collect collector asid bloomfilt immutablerang whole class beta though remov redund beta annot collector return method clariti map asconvert immutableenummap multimapbuild stream stream iter concatio bytestream copi tobytearray charstream copi tostr file charbyt sourcesink utilconcurr futur addcallback getdon getuncheck immediatecancelledfutur immediatefailedfutur immediatefutur listeningscheduledexecutorservic uninterruptiblesoth htmlescap splittersplittolist tickerfix asid immutablerang whole class beta anyway address main concern doesnt cover broader requestfix address beta number frequent use api cb cc ed e df b b df f add known utf hash valu murmur test utf compar platform reli java intern encoding ec bcf de ac dddd fb remov canignorereturnvalu orderingsortedcopi immutablesortedcopi relnotesremov canignorereturnvalu orderingsortedcopi immutablesortedcopi da f c b e f c e f make constructor privat im look enummap stuff reason got wonder use outsid file nope b ce c ff fac b b ab af e delet wellbehavedmapth bug work around java dont believ ever present android havent look absolut first version ever gwt still old gwt file doesnt bug eitherdelet class simplifi work im around enummap usag j cl c c ab c c fb aa bf intern gwt chang ade c e c c b f autom rollback commit ade c e c c b f origin chang descript intern gwt chang f b b b fe ac b bad use j objc retainedwith annot instead weak immutablemapkeysetto prevent crash iostestedcr map insid autoreleas pool save refer thekeyset check keyset function correct outsid autoreleasepool check keyset map dealloc theautoreleas pool hold refer keyset test withboth immutablemapof immutablebimapof relnotesj objc fix crash use immutablemapkeyset c acb ed eef annot checknotnul input output nonnullw dont want go road annot thing nonnul eventu want use tool assum that default pretti weird checknotnul return nullabl valu mind tool let annot method see goesrelnotesannot checknotnul input output nonnul b e b da ec ffd document jdk altern mapsimmutableentri fix f abd b bf b f fdaa ceb modern book refer eafed e bb b e ef creat constant sourcemap headernon test like header name requir workaroundsrelnotesadd sourcemap header intern gwt changedb ada b f db b de ec ca e ab b use j objc retainedwith annot instead weak immutablemapvaluesto prevent crash iostestedcr map insid autoreleas pool save refer thevalu collect check valu collect function correctlyoutsid autoreleas pool check valu collect themap dealloc autoreleas pool hold strong referenceto valu collect test immutablemapof andimmutablemapcopyof relnotesj objc fix crash use immutablemapvalu ac f c b aab b f cb fix javadoc breakag jdk canari remov gwt emul longer need gwt relnotesremov gwt emul longer need gwt mean gwt project use version guava must use gwt higherb df cb de c f dbbff annot checknotnul input output nonnullhi curious motiv behind decis well behind part decis total agre pretti weird checknotnul return nullabl valu mind tool favor checknotnul return non null valueim unclear input consid nonnul instead nullabl mayb im misus use checknotnul fluent assert express compil cant infer nullabl know nonnul use ideal signatur would java canignorereturnvalu nonnullpubl static checknotnul nullabl ref,-0.4013715234093798
13,3211,3635,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,check array index quantilesscaleandindex non empti fix ddaa b e ed bb e ee simplifi codefix e def aef e f document jdk altern iteratorsforenumer fix e b c f abb c f ab f add mime type mpeg dash mpd file fix relnot net ad mediatyp constant mpeg dash ccf c b ec f ef e fix logic decid whether use currentrequestthreadfactori app enginewhil support thread renam app enginefix cl experi back bd b c f e b f e c non googler contribut taken prs,0.5552598245075738
23,3761,3765,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0, add test case stabl incidentedgeord self loop abstractstandard un directedgraphtestae c bbfecc f c add test stabl incidentedgeord support mutabl undirect valuegraph valuegraphtest aba dd e e fcd e b fa e e fix error asciidigitsasciidigit initi b f e ae e ce disabl gwt rpc default open sourc releaserelnot guava type longer sent gwt rpc temporarili reenabl support set guavagwtemerg reenabl rpc system properti true ff cd f e fb e da af f ad cla yes label b f e ae e ce come perceptron pr,0.39968284459777526
24,3784,3796,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0, make abstractfutur compat forkjoinpool catch except properti retriev relnotesmad safe load abstractfutur class forkjoinpool thread secur manager b c f ae bdf f e da shut comput silenc,-0.8113200180192529
28,3829,3830,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0, doubl slice bytesourc fb b bc b bb c b af consent,-1.4871071549753063
32,3873,3876,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, fix reimplement cartesian setlist containsrelnot ce aa ba dba a,1.096572429120579
34,3886,3887,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0, treerangemapsubrangemapputcoalescingth short circuit attempt put empti rang caus contract putcoalesc violat e e abc de ed e b cb c a,1.1257833959701082
35,3890,3892,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0, fix powersetequ compar anoth powerset whose item differ iter orderrelnot powersetequ powerset would erron return fals powerset under set equal differ iter order befd ced edc c eb f,-0.4431721628988466
37,3880,3893,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0, add constant cross origin embedd polici report header w constant cross origin embedd polici report headersa f e b b c ac cf e implement trylockuninterrupt c ecc c adbcd f,-1.2352902463531694
43,4012,4020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, make closingfutur avail open sourc guava beta relnot utilconcurr add closingfutur e dee f e f fix typo remov unnecessari word c b bde cd f af b e e bump checker qual unfortun reason involv intern legaci infrastructur easier merg least get us newest major version make easier see safe resolv conflict say use newer onea ee fa fcc edc f e c ddd b remov spurious annot fix travi buildf c c c dcd e ace f cla yes per,0.5142652595902721
45,4004,4029,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, fix assertionerror rangegap f f c cf cd f efdd fix random typo guavafix bbe aeb aa eaa add back webapp public suffix listd e c c e b c ea b ce e b extern restor donotmock closingfuturecombin extern add donotmock closingfutur itselfthi implement altern workaround replac submit cl b c f e cfb cd cfd fb dbe,0.1690456415404788
46,4007,4029,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, fix assertionerror rangegap f f c cf cd f efdd fix random typo guavafix bbe aeb aa eaa add back webapp public suffix listd e c c e b c ea b ce e b extern restor donotmock closingfuturecombin extern add donotmock closingfutur itselfthi implement altern workaround replac submit cl b c f e cfb cd cfd fb dbe,0.34163473005479045
